File,Coordinates,Area,Value_1_Ratio,Value_2_Ratio,Value_3_Ratio,Value_4_Ratio,Value_5_Ratio,Value_6_Ratio,Value_7_Ratio,Value_8_Ratio,Value_9_Ratio,Value_10_Ratio
BJ_19_38,"(19, 38)",1767,0.195,0.0002,0.8046,0.0002
BJ_0_61,"(0, 61)",61,0.0879,0.0236,0.0298,0.8482,0.0105
BJ_0_75,"(0, 75)",75,0.2198,0.0134,0.2561,0.4832,0.0275
BJ_45_21,"(45, 21)",4116,0.2002,0.0752,0.3363,0.3525,0.0358
BJ_42_28,"(42, 28)",3850,0.1141,0.0188,0.0358,0.8204,0.0109
BJ_9_51,"(9, 51)",870,0.1421,0.0358,0.0472,0.7747,0.0002
BJ_7_54,"(7, 54)",691,0.3787,0.0476,0.1882,0.3304,0.0122,0.0429
BJ_9_79,"(9, 79)",898,0.1759,0.0925,0.2433,0.4142,0.0194,0.0547
BJ_24_2,"(24, 2)",2186,0.9797,0.0203
BJ_10_20,"(10, 20)",930,0.0826,0.0005,0.0214,0.895,0.0005
BJ_17_29,"(17, 29)",1576,0.15,0.0009,0.007,0.8421
BJ_22_86,"(22, 86)",2088,0.0363,0.0004,0.0512,0.4502,0.4468,0.0151
BJ_0_49,"(0, 49)",49,0.0802,0.0146,0.0851,0.8038,0.0163
BJ_19_10,"(19, 10)",1739,0.26,0.04,0.1256,0.5107,0.0637
BJ_37_8,"(37, 8)",3375,0.5811,0.0076,0.0765,0.3346,0.0002
BJ_7_40,"(7, 40)",677,0.1127,0.003,0.0687,0.8123,0.0033
BJ_10_34,"(10, 34)",944,0.1527,0.0003,0.0116,0.0695,0.7658,0.0001
BJ_42_14,"(42, 14)",3836,0.701,0.0211,0.1381,0.1398
BJ_25_64,"(25, 64)",2339,0.2448,0.0002,0.0306,0.1461,0.5633,0.0051,0.0099
BJ_9_86,"(9, 86)",905,0.0919,0.0004,0.1699,0.2498,0.4867,0.0012,0.0001
BJ_31_11,"(31, 11)",2832,0.6884,0.0451,0.115,0.1515
BJ_36_18,"(36, 18)",3294,0.7462,0.0106,0.0553,0.1879
BJ_38_35,"(38, 35)",3493,0.2029,0.0032,0.7933,0.0006
BJ_22_79,"(22, 79)",2081,0.096,0.0082,0.0156,0.8734,0.0068
BJ_38_21,"(38, 21)",3479,0.3591,0.0234,0.2671,0.3463,0.0041
BJ_25_70,"(25, 70)",2345,0.1028,0.0001,0.1104,0.6176,0.1357,0.0298,0.0036
BJ_39_7,"(39, 7)",3556,0.6164,0.0185,0.1517,0.2134
BJ_25_58,"(25, 58)",2333,0.4931,0.0293,0.2897,0.1773,0.0088,0.0018
BJ_22_51,"(22, 51)",2053,0.3338,0.022,0.0278,0.5774,0.0025,0.0347,0.0018
BJ_36_24,"(36, 24)",3300,0.2302,0.0984,0.2571,0.4108,0.0035
BJ_36_30,"(36, 30)",3306,0.3945,0.0208,0.1417,0.433,0.01
BJ_22_45,"(22, 45)",2047,0.077,0.923
BJ_31_39,"(31, 39)",2860,0.1527,0.0105,0.8368
BJ_7_83,"(7, 83)",720,0.0063,0.0012,0.1459,0.0994,0.7443,0.0029
BJ_22_44,"(22, 44)",2046,0.1352,0.8648
BJ_36_31,"(36, 31)",3307,0.3249,0.009,0.0455,0.5934,0.0272
BJ_7_82,"(7, 82)",719,0.0063,0.0003,0.4268,0.445,0.121,0.0006
BJ_31_38,"(31, 38)",2859,0.3536,0.0138,0.6326
BJ_25_59,"(25, 59)",2334,0.1264,0.0027,0.0707,0.7999,0.0003
BJ_39_6,"(39, 6)",3555,0.7549,0.0324,0.0569,0.1558
BJ_36_25,"(36, 25)",3301,0.1232,0.1355,0.2725,0.4387,0.0301
BJ_22_50,"(22, 50)",2052,0.3683,0.0004,0.6313
BJ_38_20,"(38, 20)",3478,0.5025,0.1188,0.22,0.1587
BJ_22_78,"(22, 78)",2080,0.0852,0.0093,0.0429,0.8028,0.0598
BJ_25_71,"(25, 71)",2346,0.2078,0.0002,0.0312,0.5824,0.1781,0.0003
BJ_31_10,"(31, 10)",2831,0.6487,0.025,0.1346,0.1916,0.0001
BJ_9_87,"(9, 87)",906,0.0274,0.1186,0.3223,0.5317
BJ_25_65,"(25, 65)",2340,0.4036,0.0016,0.1005,0.1427,0.3138,0.0129,0.0249
BJ_38_34,"(38, 34)",3492,0.2408,0.7592
BJ_36_19,"(36, 19)",3295,0.5967,0.0184,0.1804,0.2036,0.0009
BJ_19_11,"(19, 11)",1740,0.4302,0.0584,0.2337,0.2771,0.0006
BJ_0_48,"(0, 48)",48,0.0112,0.0002,0.0661,0.2693,0.6105,0.0427
BJ_22_87,"(22, 87)",2089,0.0693,0.0001,0.0312,0.1849,0.6976,0.0169
BJ_42_15,"(42, 15)",3837,0.7776,0.0079,0.1009,0.1136
BJ_10_35,"(10, 35)",945,0.1764,0.0038,0.0423,0.7753,0.0022
BJ_37_9,"(37, 9)",3376,0.1627,0.047,0.1965,0.5937,0.0001
BJ_7_41,"(7, 41)",678,0.2534,0.0001,0.047,0.449,0.2391,0.0114
BJ_24_3,"(24, 3)",2187,0.9978,0.0022
BJ_10_21,"(10, 21)",931,0.1444,0.0332,0.4317,0.1909,0.0033,0.193,0.0035
BJ_9_78,"(9, 78)",897,0.1521,0.0001,0.2052,0.3096,0.2976,0.0083,0.027,0.0001
BJ_7_55,"(7, 55)",692,0.4953,0.0619,0.1015,0.2904,0.0033,0.0476
BJ_17_28,"(17, 28)",1575,0.1957,0.0003,0.0106,0.7934
BJ_45_20,"(45, 20)",4115,0.4001,0.0422,0.2384,0.3169,0.0024
BJ_0_74,"(0, 74)",74,0.0926,0.0003,0.0312,0.1757,0.6703,0.0299
BJ_9_50,"(9, 50)",869,0.1002,0.0024,0.023,0.8724,0.002
BJ_42_29,"(42, 29)",3851,0.0991,0.0368,0.152,0.7041,0.008
BJ_9_44,"(9, 44)",863,0.2676,0.037,0.282,0.4134
BJ_7_69,"(7, 69)",706,0.2187,0.0702,0.6369,0.0738,0.0004
BJ_0_60,"(0, 60)",60,0.2422,0.0218,0.092,0.6326,0.0019,0.0095
BJ_19_39,"(19, 39)",1768,0.1157,0.0003,0.0003,0.8837
BJ_17_14,"(17, 14)",1561,0.5151,0.0132,0.0119,0.2314,0.007,0.2212,0.0002
BJ_45_34,"(45, 34)",4129,0.2735,0.0025,0.0908,0.1113,0.5217,0.0002
BJ_21_29,"(21, 29)",1940,0.144,0.0026,0.8533,0.0001
BJ_26_20,"(26, 20)",2386,0.403,0.0195,0.1732,0.4003,0.004
BJ_32_55,"(32, 55)",2967,0.1594,0.0887,0.2287,0.4515,0.0717
BJ_32_41,"(32, 41)",2953,0.5692,0.0974,0.3333,0.0001
