TIF,POI_0,POI_1,POI_2,POI_3,POI_4,POI_5,POI_6,POI_7,POI_8,POI_9,POI_10,POI_11,POI_12,POI_13
8914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2842,0.0,0.013070215556214817,0.21565855667754447,0.11763194000593334,0.026140431112429634,0.026140431112429634,0.09802661667161111,0.03921064666864445,0.7907480411509963,0.019605323334322224,0.26140431112429635,0.3986415744645519,0.5162735144704852,0.0784212933372889,398.0
12009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
8236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
15017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
11108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
12408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
13828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
14710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
9820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
16694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2708,0.0,0.0,0.35474132010113246,0.10135466288603785,0.0,0.0,0.050677331443018926,0.0,1.266933286075473,0.0,0.0,0.025338665721509463,0.050677331443018926,0.025338665721509463,74.0
9093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
5919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
